 energy   cTheta  phi     prob_b  spheri  pt2rel  multip  bqvjet  ptlrel  nnbjet isb
 46.3935 -0.4634  0.4308  0.0122  0.5551  0.0053  0.1306  0.0012 -0.0003  0.1215 0 
 49.0394 -0.7730 -0.5048  0.0504  0.3387  0.0896  0.3432  0.0474 -0.0003  0.3317 1 
 43.1342  0.7692  2.6316  0.1020  0.3206  0.0249  0.3549  0.0302 -0.0003  0.3709 1 
 53.2265  0.6820 -1.7811  0.3127  0.7157  0.0424  0.4202  0.4710 -0.0003  0.9951 1 
 52.1828 -0.7029  1.3232  0.0780  0.5319  0.0458  0.5067  0.3425 -0.0003  0.8875 1 
 59.9252 -0.3281 -1.1895  0.0191  0.2794  0.0648  0.2856  0.1414 -0.0003  0.3042 0 
 41.0437  0.2996  1.9401  0.0991  0.2662  0.0151  0.2248  0.2667  0.0626  0.6137 0 
 46.7018  0.2468 -1.5017  0.0147  0.3849  0.1011  0.6517  0.1286 -0.0003  0.3315 0 
 45.2522 -0.2572  1.6770  0.0090  0.1323  0.0284  0.2629  0.0174 -0.0003  0.0502 0 
 50.5501 -0.4600  2.9275  0.1226  0.5035  0.1317  0.5960  0.1866 -0.0003  0.8704 1 
 30.7073  0.4685 -0.2142  0.4410  0.3338  0.0360  0.1951  0.2672  0.3367  0.9967 1 
 59.8733  0.0069 -2.5831  0.0533  0.6075  0.0591  0.3265  0.0222 -0.0003  0.4106 0 
 53.8735  0.0106  0.5689  0.0264  0.0653  0.0361  0.2094  0.0058 -0.0003  0.0651 0 
 45.3529 -0.1875 -0.3153  0.1772  0.5635  0.0193  0.1751  0.1371 -0.0003  0.6292 0 
 39.0051  0.1823  2.8396  0.0591  0.4564  0.0148  0.4558  0.1171 -0.0003  0.3929 0 
 62.8244 -0.4481  1.5108  0.2491  0.1132  0.0344  0.3227  0.0958 -0.0003  0.6095 0 
 44.4800  0.4443 -1.6438  0.0145  0.4296  0.0240  0.2640  0.0047 -0.0003  0.1351 0 
 45.7710 -0.2209 -3.0411  0.2062  0.3428  0.0483  0.4804  0.1528  0.2427  0.9677 1 
 44.7761  0.2158  0.0876  0.0333  0.7154  0.0474  0.3075  0.0703 -0.0003  0.3926 1 
 51.6335 -0.2831  2.2048  0.0038  0.2090  0.0734  0.1270  0.0112 -0.0003  0.1839 0 
 45.1179  0.3122 -0.9642  0.0425  0.2203  0.0301  0.3507  0.0602  0.0791  0.3173 0 
 29.3065 -0.7828  1.7557  0.0217  0.6044  0.0412  0.2472  0.0161 -0.0003  0.2714 1 
 28.2750  0.7689 -1.4373  0.0586  0.6172  0.0292  0.3998  0.0904  0.3596  0.9814 1 
 46.4271  0.5638 -1.0551  0.0002  0.2767  0.0819  0.3481  0.0298 -0.0003  0.1309 0 
 45.7374 -0.5582  2.0598  0.0126  0.5998  0.0459  0.6116  0.1556 -0.0003  0.3683 0 
 47.8889  0.2168  0.1263  0.4345  0.4941  0.0576  0.4316  0.3936 -0.0003  0.9952 1 
 37.0092 -0.1985 -3.0023  0.6420  0.4234  0.1418  0.5087  0.5061  0.7823  0.9999 1 
 48.0507  0.3542  1.4799  0.0949  0.1420  0.0281  0.2588  0.0828 -0.0003  0.2039 0 
 39.5483 -0.3475 -1.6095  0.0400  0.5597  0.0900  0.4995  0.0617 -0.0003  0.3229 0 
 51.3436  0.4878 -1.1415  0.0059  0.6702  0.2029  0.5936  0.0915 -0.0003  0.2969 0 
 42.0905 -0.4381  2.0359  0.0124  0.4215  0.0401  0.4019  0.0169 -0.0003  0.1740 0 
 48.9296 -0.2390 -0.0285  0.0011  0.3967  0.0857  0.5151  0.0425 -0.0003  0.1686 0 
 44.2664  0.2784  3.1317  0.0079  0.5065  0.0401  0.2644  0.0428 -0.0003  0.1716 0 
 48.6336 -0.4289 -0.2705  0.0121  0.3521  0.1914  0.3870  0.0645 -0.0003  0.2440 0 
 37.4334  0.4447  2.8809  0.0595  0.2221  0.0248  0.3227  0.1435 -0.0003  0.2715 0 
 46.4088  0.2880  2.4048  0.0159  0.6990  0.0190  0.3046  0.0287 -0.0003  0.1370 0 
